key,value,date
USA,54062453,2016
USA,49721783,2015
USA,48091275,2014
USA,56038668,2013
USA,59581978,2012
USA,49220201,2011
USA,55511441,2010
USA,49505237,2009
USA,48415574,2008
USA,49526348,2007
USA,42192124,2006
USA,40949580,2005
USA,47111576,2004
USA,52649863,2003
USA,48053927,2002
USA,46444631,2001
USA,45692963,2000
USA,42313431,1999
USA,44894835,1998
USA,50775032,1997
UK,84542394,2016
UK,25825257,2015
UK,30823109,2014
UK,25143064,2013
UK,42643463,2012
UK,15292678,2011
UK,17733265,2010
UK,18530084,2009
UK,21441046,2008
UK,28865885,2007
UK,31056018,2006
UK,30975007,2005
UK,20722805,2004
UK,25872366,2003
UK,34079232,2002
UK,39196401,2001
UK,23448362,2000
UK,31313327,1999
UK,11441825,1998
UK,30226045,1997
France,26725319,2016
France,3473404,2015
France,23642374,2014
France,3823392,2013
France,19189013,2012
France,11860357,2011
France,11636930,2010
France,2749212,2009
France,28549880,2008
France,17077426,2007
France,6548506,2006
France,24706944,2005
France,5013166,2004
France,4657745,2003
France,8666616,2002
France,13666823,2001
France,22858907,2000
France,5828679,1999
France,19556064,1998
France,21338634,1997
